"term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","q.value"
"DII_QQ4",2.44611741421144,0.266765829432221,3.35313574664403,0.00116579324138638,1.43994438237113,4.15536216354105,"cvd_angina","DII_Q","Crude","DII_Q",0.00174868986207956
"DII_QQ2",1.79125988487506,0.347358666261488,1.67814790643262,0.0969488292445917,0.897980472980597,3.57314225833055,"cvd_angina","DII_Q","M1","DII_Q",NA
"DII_QQ3",1.544162295973,0.301483779850244,1.44114406508526,0.153175258920408,0.848022289676433,2.81176240923384,"cvd_angina","DII_Q","M1","DII_Q",NA
"DII_QQ4",2.55656523257858,0.27058935295216,3.46896373169565,0.000818707098910166,1.49294521154718,4.37794082319744,"cvd_angina","DII_Q","M1","DII_Q",0.00122806064836525
"DII_QQ2",1.61603062373916,0.357712338202044,1.34178461012963,0.183509927702491,0.79291782473555,3.29360104590129,"cvd_angina","DII_Q","M2","DII_Q",NA
"DII_QQ3",1.25788909566224,0.305318071080365,0.751462218823605,0.45460738318715,0.685034947599431,2.30978723425831,"cvd_angina","DII_Q","M2","DII_Q",NA
"DII_QQ4",1.91979731921475,0.264823194278755,2.4628492958665,0.0159588924470476,1.13326430623124,3.25221726882141,"cvd_angina","DII_Q","M2","DII_Q",0.0239383386705713
"DII_QQ2",2.65797135957577,0.421011522293134,2.32193926600884,0.0229906457316182,1.14875576699842,6.14996847135283,"cvd_angina","DII_Q","M3","DII_Q",NA
"DII_QQ3",2.15517171474881,0.423834162996919,1.81172371044771,0.0740862700373013,0.926225454937481,5.01472410987328,"cvd_angina","DII_Q","M3","DII_Q",NA
"DII_QQ4",2.67892511953436,0.415105292627961,2.37389321883044,0.0201973954962401,1.17151793540798,6.12593250104443,"cvd_angina","DII_Q","M3","DII_Q",0.0695386259813498
"sleep_score",1.62447490922853,0.0684161501824596,7.09166811471659,2.54670814398289e-10,1.41810817981238,1.86087265293271,"cvd_angina","sleep_score","Crude","sleep_score",5.09341628796578e-10
"sleep_score",1.64904448332216,0.0708814967223719,7.05679256620414,3.73105257927541e-10,1.43237504776534,1.89848860619132,"cvd_angina","sleep_score","M1","sleep_score",5.59657886891312e-10
"sleep_score",1.51703069470004,0.0802420904403134,5.1937198008128,1.50354373457508e-06,1.29317229632486,1.77964076032446,"cvd_angina","sleep_score","M2","sleep_score",3.00708746915015e-06
"sleep_score",1.41879079469697,0.10296664253578,3.39726485384884,0.00108584415053123,1.15572645792876,1.74173335334419,"cvd_angina","sleep_score","M3","sleep_score",0.00217168830106247
"sleep_disorder",3.00605112403254,0.165745118921532,6.64048091236246,2.07244608828932e-09,2.16298744094773,4.17771420639315,"cvd_angina","sleep_disorder","Crude","sleep_disorder",3.10866913243398e-09
"sleep_disorder",2.94036657002191,0.16779731025671,6.42760158437055,6.47619551437203e-09,2.10659386942321,4.1041397165319,"cvd_angina","sleep_disorder","M1","sleep_disorder",9.71429327155804e-09
"sleep_disorder",2.36834724918349,0.183075995159348,4.70947787508705,1.01378997893908e-05,1.64530955351189,3.40912667816372,"cvd_angina","sleep_disorder","M2","sleep_disorder",2.02757995787816e-05
"sleep_disorder",1.85990520743332,0.237419978835265,2.613619652925,0.0107955148653638,1.15912180512442,2.98436917099171,"cvd_angina","sleep_disorder","M3","sleep_disorder",0.0323865445960915
"DII",1.16475644831865,0.0439641759075787,3.46900640752497,0.000793398541857205,1.06738087527066,1.27101545037133,"cvd_mi","DII","Crude","DII_cont",NA
"DII",1.17773617646901,0.0457746694765944,3.57390021954576,0.000573541773940331,1.07532889602282,1.28989605551752,"cvd_mi","DII","M1","DII_cont",NA
"DII",1.11126106935558,0.0440478638353572,2.39501895859375,0.01892742868465,1.01801437282833,1.21304885002203,"cvd_mi","DII","M2","DII_cont",NA
"DII",1.08730928514573,0.0481795684066435,1.73737751061105,0.0863715226272778,0.987822919948524,1.19681519601278,"cvd_mi","DII","M3","DII_cont",NA
"DII_QQ2",1.34519602286936,0.316000642846499,0.938415003442993,0.350515261470375,0.71809262549467,2.51994279804364,"cvd_mi","DII_Q","Crude","DII_Q",NA
"DII_QQ3",1.98049594654888,0.24894904668465,2.74492833171061,0.00729231237733287,1.20784839698019,3.24739777285217,"cvd_mi","DII_Q","Crude","DII_Q",NA
"DII_QQ4",2.12911902813827,0.249897341327035,3.02407495949512,0.00324062013919011,1.29604578156723,3.49767569977256,"cvd_mi","DII_Q","Crude","DII_Q",0.00388874416702814
"DII_QQ2",1.35681676336862,0.312620016222655,0.976077426977528,0.331763754933924,0.728821317922149,2.52593013416044,"cvd_mi","DII_Q","M1","DII_Q",NA
"DII_QQ3",2.01292954746223,0.247999166789674,2.82094152300787,0.00594469105220289,1.22947238305281,3.29562942518932,"cvd_mi","DII_Q","M1","DII_Q",NA
"DII_QQ4",2.22036735056085,0.251951978222605,3.1659709959326,0.00213865385484718,1.34555786904323,3.66393098718387,"cvd_mi","DII_Q","M1","DII_Q",0.00256638462581662
"DII_QQ2",1.2375281277802,0.323379245541942,0.65902789885169,0.511794249880986,0.650148589782971,2.35557823413629,"cvd_mi","DII_Q","M2","DII_Q",NA
"DII_QQ3",1.65772125780131,0.254396201481306,1.98683753961532,0.0504072279822579,0.999081372515199,2.7505665145654,"cvd_mi","DII_Q","M2","DII_Q",NA
"DII_QQ4",1.70769297362837,0.252661400569051,2.11802562708,0.0373169664415925,1.03275850597547,2.82371461992971,"cvd_mi","DII_Q","M2","DII_Q",0.044780359729911
"DII_QQ2",1.56690948338295,0.445962891268983,1.00704611577375,0.317194245825703,0.644361573654008,3.81029134805881,"cvd_mi","DII_Q","M3","DII_Q",NA
"DII_QQ3",1.54011831717677,0.363947384138027,1.18659801287678,0.239181827027498,0.745782146652894,3.18050578382562,"cvd_mi","DII_Q","M3","DII_Q",NA
"DII_QQ4",1.76795707975695,0.335297782424234,1.69945856380357,0.0934331291612605,0.906403482137666,3.44843361423451,"cvd_mi","DII_Q","M3","DII_Q",0.12843020878097
"sleep_score",1.4275569886019,0.0583853033236451,6.09681826504799,2.44016470235304e-08,1.27127831621681,1.60304705091702,"cvd_mi","sleep_score","Crude","sleep_score",2.92819764282364e-08
"sleep_score",1.44919714555941,0.0611234537667403,6.06984205745742,3.16100254718179e-08,1.2834345032123,1.63636894710328,"cvd_mi","sleep_score","M1","sleep_score",3.79320305661815e-08
"sleep_score",1.32788077950195,0.0674335694402845,4.20538724120154,6.67925858428994e-05,1.16115200688572,1.51854998666359,"cvd_mi","sleep_score","M2","sleep_score",0.000100188878764349
"sleep_score",1.14538635601003,0.0991144510671697,1.36954810784981,0.174861248806974,0.94020106421418,1.39535037181693,"cvd_mi","sleep_score","M3","sleep_score",0.174861248806974
"sleep_disorder",2.09212907029686,0.133166434538604,5.54330559303307,2.75904219930914e-07,1.60598952657071,2.72542502573317,"cvd_mi","sleep_disorder","Crude","sleep_disorder",3.31085063917097e-07
"sleep_disorder",2.06077157123453,0.130525623064129,5.53975874501807,3.10792550015749e-07,1.58992717612236,2.67105282090077,"cvd_mi","sleep_disorder","M1","sleep_disorder",3.72951060018899e-07
"sleep_disorder",1.66496297267981,0.136910593024042,3.72361899319841,0.000361566750529423,1.26794027107873,2.18630306460441,"cvd_mi","sleep_disorder","M2","sleep_disorder",0.000433880100635308
"sleep_disorder",1.05844364637386,0.22849320561813,0.248583194783532,0.804353711618874,0.671471243586749,1.66843027642547,"cvd_mi","sleep_disorder","M3","sleep_disorder",0.804353711618874
"DII",1.19044980185601,0.0328639483152076,5.30463408675314,7.6075834853463e-07,1.11524033889987,1.27073123281836,"cvd_stroke","DII","Crude","DII_cont",NA
"DII",1.20412968527428,0.0356464350962137,5.21109762046488,1.22582313701769e-06,1.12178061078764,1.29252394364411,"cvd_stroke","DII","M1","DII_cont",NA
